phrase,target
The implementation of these programs has had  and will have  negative impacts on 2006 and 2007 earnings   Mr Meiklejohn said,negative
Operating profit fell to EUR 381 mn from EUR 553 mn in 2007,negative
Finnish Scanfil  a systems supplier and contract manufacturer to the communications sector and the electronics industry  reports its net sales totalled EUR 947 mn in the first half of 2010  down from EUR 995 mn in the first half of 2009,negative
Operating loss before nonrecurring items was EUR 09 mn  compared to a profit of EUR 115 mn in 2008,negative
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki  BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008,negative
Small firms are suffering at the moment because they are likely to have money trouble   he added,negative
YIT s Baltic sales in the first three quarters of 2008 totaled 1062 million euros  representing a drop of 29 percent year on year,negative
Profit for the period totalled EUR 08 mn  down from EUR 11 mn in the corresponding period in 2008,negative
Managing Director s comments   Net sales for the first quarter were notably lower than a year before  especially in Finland  Russia and the Baltic countries,negative
Sales in Finland decreased by 105  in January  while sales outside Finland dropped by 17,negative
Profit before taxes was EUR 40 mn  down from EUR 49 mn,negative
The Baltimore Police and Fire Pension  which has about  15 billion  lost about  35 million in Madoff Ponzi scheme,negative
Finnish Scanfil  a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 1087 mn in the first half of 2008  down from EUR 1111 mn a year earlier,negative
Finnish IT solutions provider Affecto Oyj HEL  AFE1V said today its slipped to a net loss of EUR 115000 USD 152000 in the second quarter of 2010 from a profit of EUR 845000 in the corresponding period a year earlier,negative
In Finland s Hobby Hall s sales decreased by 10   and international sales fell by 19,negative
Finnish automation solutions developer Cencorp Corporation  OMX Helsinki  CNC1V  issued on Thursday  18 September  a profit warning for the third quarter of 2008,negative
In the Baltic states the company reports net sales of EUR 119 mn  down from EUR 142 mn  and an operative EBIT of EUR 22 mn  down from EUR 17 mn,negative
Sevenmonth sales of Ragutis  which is controlled by the Finnish brewery Olvi  declined by 112 percent  to 1541 million liters  and the company held 989 percent of the market,negative
Operating profit was EUR 01 mn  down from EUR 13 mn,negative
Operating profit decreased to nearly EUR 17 mn  however,negative
Finnish textiles and clothing group Marimekko Oyj posted a net profit of 799 mln euro  104 mln for 2006  compared to 84 mln euro  109 mln for 2005,negative
YIT lodged counter claims against Neste Oil totaling some EUR25m  primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project,negative
Demand for fireplace products was lower than expected  especially in Germany,negative
The move was triggered by weak demand for forestry equipment and the uncertain market situation,negative
The situation of coated magazine printing paper will continue to be weak,negative
The Finnish national carrier said net loss in April through June was euro26 million  down from a net profit of euro13 million a year earlier,negative
In September alone  the market declined by 102 percent yearonyear to 1928 million liters,negative
Finnish electronics contract manufacturer Scanfil reports net sales of EUR 589 mn in the second quarter of 2007  down from EUR 624 mn a year earlier,negative
In the building and home improvement trade  sales decreased by 63   totalling EUR 1541 mn,negative
The steelmaker said that the drop in profit was explained by the continuing economic uncertainty  mixed with the current drought in bank lending  resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations,negative
Operating loss totalled EUR 09 mn  down from a profit of EUR 27 mn,negative
Net sales of Kyro s main business area  Glaston Technologies  a manufacturer of glass processing machines  decreased to EUR 1615 mn from EUR 1641 mn in JanuarySeptember 2005,negative
In JanuaryJune 2010  diluted loss per share stood at EUR0 3 versus EUR0 1 in the first half of 2009,negative
ADP News  Feb 13  2009  Finnish retailer Kesko Oyj HEL  KESBV said today its total sales  excluding value added tax VAT  stood at EUR 6613 million USD 8531 m in January 2009  down 152  yearonye,negative
Loss after financial items totalled EUR 97 mn  compared to a profit of EUR 13 mn in the corresponding period in 2008,negative
Operating profit totalled EUR 302 mn  down from EUR 438 mn a year earlier,negative
ADP News   Feb 4  2009  Finnish broadband data communication systems and solutions company Teleste Oyj  HEL  TLT1V  said today its net profit decreased to EUR 55 million  USD 72 m  for 2008 from EUR 94 million for 20,negative
Profit before taxes decreased by 9  to EUR 1878 mn in the first nine months of 2008  compared to EUR 2071 mn a year earlier,negative
Sanoma News  advertising sales decreased by 22  during the year,negative
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant  according to the company,negative
The Group s order portfolio decreased from EUR 429 mn in 92007 to EUR 333 mn in 22008,negative
Orion s net profit for the third quarter of 2007 decreased to 365 mln euro   521 mln  from 403 mln euro   575 mln  a year earlier,negative
Net sales decreased to EUR 2205 mn from EUR 4700 mn in the corresponding period in 2009,negative
Copper  lead and nickel also dropped  HBOS  HBOS  plummeted 20  to 703 pence after saying this yearï½,negative
The net sales decreased to EUR 498 million from EUR 599 million,negative
Operating loss totaled EUR 03 mn compared to a profit of EUR 22 mn in the corresponding period in 2007,negative
Earnings per share  EPS  amounted to EUR1 37  down from EUR2 30,negative
Operating loss totaled EUR 08 mn  compared to a profit of EUR 05 mn,negative
Profitability  EBIT   was 136   compared to 143  in Q2 2009,negative
During the strike  Finnair estimates to incur a net loss of between EUR2m and EUR2 5 m per day,negative
However  the growth margin slowed down due to the financial crisis,negative
Shares in Royal and Sun Alliance continued to slide back from a 12month high of 172p last month  after a potential suitor ruled itself out of a takeover bid,negative
Exports of goods fell by 59   and imports by 167,negative
Operating profit  excluding nonrecurring items  totalled EUR 10 mn  down from EUR 16 mn,negative
In a separate announcement to the Helsinki stock exchange  Atria revealed that the company s third quarter profits declined from EUR13 9 m in the third quarter of last year to EUR12 7 m in this year s Q3,negative
Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884000 euro   12 mln  for the first quarter of 2007 from 20 mln euro   27 mln  a year earlier,negative
The company s profit totaled Ls 578100 in H1 2007  down 309  yearonyear,negative
Okmetic expects its net sales for the first half of 2009 to be less than in 2008,negative
LONDON MarketWatch  Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100,negative
Finnish glass technology company Glaston Oyj Abp net profit decreased to 26 mln euro   38 mln  for the first nine months of 2007 from 78 mln euro   114 mln  for the same period of 2006,negative
Operating result for the 12month period decreased from the profit of EUR0 4 m while turnover decreased from EUR5 6 m  as compared to 2004,negative
Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 664 mln euro  912 mln for the first half of 2007  compared to a net profit of 71 mln euro  98 mln for the same period of 2006,negative
The company reported today an operating loss of EUR0 1 m on net sales of EUR4 5 m for the first quarter 2008,negative
Agricultural newspaper Maaseudun Tulevaisuus had 318000 readers  representing a decrease of 6,negative
Operating profit for continuing operations fell to EUR 483 mn from EUR 724 mn in the first half of 2007,negative
Sales by Seppala diminished by 6 per cent,negative
In the building and home improvement trade  net sales totalled EUR 1173 mn  down from EUR 1566 mn a year earlier,negative
In Finland  the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008,negative
Operating loss totalled EUR 52 mn  compared to a loss of EUR 34 mn in the corresponding period in 20082009,negative
Finnish metal products company Componenta Oyj net profit went slightly down to 251 mln euro   402 mln  for the first half of 2008 from 254 mln euro   407 mln  for the same period of 2007,negative
20 October 2010  Finnish environmental management company Lassila  Tikanoja Oyj HEL  LAT1V  or LT  said Monday it expects its operating profit  excluding nonrecurring items  for the whole 2010 to be slightly lower than in 2009,negative
However  the company saw its net profit for the third quarter down to EUR1 4 m from EUR1 5 m for the corresponding period of 2009,negative
According to CEO Matti Perkonoja of the parent company HKScan  the company s performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009,negative
Profit before taxes decreased to EUR 316 mn from EUR 500 mn the year before,negative
Net sales fell by 5  from the previous accounting period,negative
23 April 2010  Finnish construction and engineering company Outotec Oyj HEL  OTE1V said today it slipped to a net loss of EUR7 3 m in the first quarter of 2010 from a net profit of EUR12 5 m in the corresponding period last year,negative
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15  lower than during the same period a year ago,negative
JP Morgan expects that Scala will lower Nobel Biocare s growth forecast for 2007 from the current guidance of 2325 pct  as well as the operating margin target from the current 3435 pct,negative
The OMX Helsinki index was down 034 pct at 825602 on turnover of 813191 mln eur,negative
The airline estimated that the cancellation of its flights due to the closure of European airspace  and the process of recommencing traffic  have caused a the company a loss of EUR20m  including the costs of stranded passengers  accommodation,negative
Finnish electronics contract manufacturer Scanfil reports net sales of EUR 2412 mn in 2006  down from EUR 3216 mn in 2005,negative
Food sales totalled EUR 3235 mn in October 2009  representing a decrease of 55  from October 2008,negative
In the fourth quarter of 2008  net sales decreased to EUR 1214 mn from EUR 1655 mn in the fourth quarter of 2007,negative
Pretax profit decreased to EUR 338 mn from EUR 408 mn in the fourth quarter of 2005,negative
2009 3 February 2010  Finlandbased steel maker Rautaruukki Oyj  HEL  RTRKS   or Ruukki  said today it slipped to a largerthanexpected pretax loss of EUR46m in the fourth quarter of 2009 from a yearearlier profit of EUR45m,negative
Cash flow after investments amounted to EUR45m  down from EUR46m,negative
Vaisala s net profit for the third quarter of 2007 dropped to 30 mln euro   43 mln  from 68 mln euro   98 mln  for the same period of 2006,negative
The sales of the Tiimari segment fell by 40  yearonyear to EUR3 3 m in June 2010,negative
Samsung currently occupies third place and lost ground during the quarter  dropping by 18  to an 111  share overall,negative
Prices and delivery volumes of broadband products decreased significantly in 2005,negative
Operating profit  excluding nonrecurring items  totalled EUR 22 mn  down from EUR 27 mn in the corresponding period in 2008,negative
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers,negative
Finnair s total traffic decreased by 87  in terms of revenue passenger kilometres,negative
Finnair said that the cancellation of flights would cause daily losses of  x20ac 25 million US 3 million,negative
Repeats sees 2008 operating profit down yy  Reporting by Helsinki Newsroom  Keywords  TECNOMENRESULT,negative
Finnish technology company Raute Corporation  OMX Helsinki  RUTAV  issued on Tuesday  23 September  a profit warning for the financial year 2008,negative
Cash Flow from Operations for the most recent quarter also reached a eight year low,negative
EPS dropped to EUR0 2 from EUR0 3,negative
Profit for the period was EUR 109 mn  down from EUR 143 mn in 2009,negative
Finnish Suominen Corporation that makes wipes  nonwovens  and flexible packaging  expects changes in the market situation to reduce sales of Suominen s nonwovens and wet wipes from the previously estimated volumes,negative
Pretax loss totalled EUR 499 mn  compared to a loss of EUR 154 mn in the corresponding period in 2008,negative
The announcement pushed Freenet shares down 63   or EUR0 71  in Frankfurt trade to EUR10 65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet,negative
LT s net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009,negative
Publishing Sweden s operating loss was EUR 11 mn in Q1 of 2009  compared to a profit of EUR 06 mn a year ago,negative
The fair value of the company s investment properties went down to EUR2 769 bn at the end of September 2009 from EUR2 878 bn a year earlier,negative
Finnish investment group Norvestia Oyj said its net profit fell to 235 mln euro  306 mln in 2006 from 335 mln euro  436 mln in 2005,negative
However  the net sales declined to EUR 8036 million from EUR 12 billion,negative
Loss for the period totalled EUR 156 mn compared to a profit of EUR 63 mn in 2008,negative
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005,negative
ADP News  Apr 22  2009  Finnish business information systems developer Solteq Oyj HEL  STQ1V said today its net loss widened to EUR 189000 USD 245000 for the first quarter of 2009 from EUR 10000 for the same per,negative
CocaCola was the market leader of manufacturers with a market share of 369   down 22  from the corresponding period in 20042005,negative
Finnish electronics contract manufacturer Scanfil had net sales of EUR 522 mn in the first quarter of 2007  down from EUR 601 mn a year before,negative
Net sales of Finnish Sanoma Learning  Literature  of Finnish media group Sanoma  decreased by 36  in JanuaryJune 2009 totalling EUR 1628 mn  down from EUR 1688 mn in the corresponding period in 2008,negative
Net sales have been eaten by the weak US dollar,negative
Furthermore  sales of new passenger cars and light commercial vehicles in the country declined by 54  yearonyear last month,negative
In 2009  Comptel slipped to a net loss of EUR2 1 m from a profit of EUR6 6 m in the previous year,negative
Finnish Exel Composites  a technology company that designs  manufactures  and markets composite profiles and tubes for various industrial applications  reports its net sales decreased by 06  in the second quarter of 2010 to EUR 192 mn from EUR 193 mn in the corresponding period in 2009,negative
The company s profit before taxes fell to EUR 211 mn in the third quarter of 2008  compared to EUR 358 mn in the corresponding period in 2007,negative
The operating margin of Aker Yards Cruise  Ferries division went down from 83  to 64  in the first quarter of 2007,negative
Finnish business software group AffectoGenimap Oyj said its net profit halved to 12 mln euro   15 mln  in the first nine months of 2006 from 22 mln euro   28 mln  in the same period of 2005,negative
Ruukki Group calculates that it has lost EUR 4mn in the failed project,negative
The operating margin came down to 24  from 57,negative
In JulySeptember 2009  Konecranes  sales decreased to EUR 3687 mn from EUR 5204 mn in JulySeptember 2008,negative
Finnish media company Talentum Oyj s net profit decreased to 25 mln euro   40 mln  for the first quarter of 2008 from 30 mln euro   47 mln  for the same period of 2007,negative
Sales in Finland decreased by 20   and international sales decreased by 93  in terms of euros  and by 151  in terms of local currencies,negative
Operating profit fell to EUR 354 mn from EUR 688 mn in 2007  including vessel sales gain of EUR 123 mn,negative
Scanfil issued a profit warning on 10 April 2006,negative
Profit before taxes amounted to EUR 565 mn  down from EUR 2329 mn a year ago,negative
The result will also be burdened by increased fixed costs associated with operations in China  and restructuring costs in Japan,negative
Operating profit totaled EUR 38 mn  down from EUR 45 mn in the corresponding period in 2005,negative
Operating profit margin was 83   compared to 118  a year earlier,negative
Operating loss totalled EUR 40 mn  compared to a profit of EUR 86 mn in the second quarter of 2008,negative
Finnish shipping company Finnlines  pretax loss totalled EUR 65 mn in the third quarter of 2009  compared to a profit of EUR 03 mn in the third quarter of 2008,negative
UPMKymmene Corp  the world s largest maker of magazine paper  on Tuesday reported a 19percent profit drop as lower paper prices  higher costs and a strong euro hurt revenue,negative
Commission income decreased to EUR 38 mn  compared to EUR 46 mn in the third quarter of 2007,negative
Subscription sales decreased slightly,negative
Cerberus Capital Management LPbacked printing paper maker NewPage Corp has posted mixed secondquarter results  casting a cloud over its planned initial public offering,negative
Operating profit for 2009 lower than outlook published earlier,negative
Finnish plumbing and heating systems supplier Uponor s net sales from continuing operations decreased by 94  in 2008 to EUR 9492 mn from EUR 10474 mn in 2007,negative
Operating profit totalled EUR 96 mn  down from EUR 420 mn the year before,negative
Revenue for the quarter totaled 274 billion  down 2 percent from 281 billion in the fourth quarter in 2008,negative
The fair value of the company s investment properties went down to EUR 2768 billion at the end of 2009 from EUR 2916 billion a year earlier,negative
Nokia shares hit 1321 euros on Friday  down 50 percent from the start of the year in part because of the slow introduction of touchscreen models,negative
Operating profit decreased to EUR 112 mn from EUR 166 mn,negative
Result before taxes decreased to nearly EUR 145 mn  compared to nearly EUR 20mn in the previous accounting period,negative
Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 32 mln euro  42 mln for the first quarter of fiscal 20062007 ending October 31  2007 from 900000 euro  12 mln for the same period of fiscal 200506,negative
Comparable operating profit totaled EUR 47 mn  down from EUR 51 mn in the corresponding period in 2005  representing 74  of net sales,negative
Operating loss totalled EUR 127 mn  compared to a profit of EUR 177 mn in the first half of 2008,negative
ADP News   Feb 12  2009  Finnish construction company Lemminkainen Oyj  HEL  LEM1S  said today its net profit decreased to EUR 635 million  USD 811 m  for 2008 from EUR 806 million for 2007,negative
In Finland  the Bank of ï½land reports its operating profit fell to EUR 61 mn in the second quarter of 2008 from EUR 75 mn in the second quarter of 2007,negative
Talentum s net sales in September were smaller than expected,negative
Lassila  Tikanoja s operating profit excluding nonrecurring and imputed items for the second quarter was EUR11 3 m  down from EUR13 8 m a year ago,negative
Operating profit totalled EUR 90 mn  down from EUR 97 mn in the first half of 2008,negative
Consolidated operating profit from continuing operations decreased by 623  to EUR 512 mn from EUR 1357 mn in 2007,negative
Earnings per share EPS in 2005 decreased to EUR0 66 from EUR1 15 in 2004,negative
Based on the first quarter result  existing order backlog and new order prospects  the company expects that fullyear sales will contract by 25  from 2008  the gross margin will stay at a healthy level  and the operating profit margin will be lower than in 2008 due to lower sales volume,negative
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period,negative
ADPnews  Feb 5  2010  Finnish real estate investor Sponda Oyj HEL  SDA1V said today that it slipped to a net loss of EUR 815 million USD 118 m in 2009 from a profit of EUR 293 million in 2008,negative
The currency effect had a 30 pct  or 20 mln euro   313 mln   negative impact on the revenue,negative
Operating profits in the half were  08 m  down from  09 m as Glisten invested in the brand and the management team,negative
Operating profit  excluding nonrecurring items  totaled EUR 02 mn  down from EUR 08 mn in the corresponding period in 2006,negative
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons  EUR 32 mln  for the fifth quarter running,negative
Finnish management software solutions provider Ixonos Oyj net profit decreased to 369000 euro   575000  for the first quarter of 2008 from 669000 euro   10 mln  for the same period of 2007,negative
Sales of midstrength beer decreased by 40,negative
Net cash from operating activities was a negative EUR 03 mn  compared to EUR 309 mn in 2009,negative
Finnish GeoSentric s net sales decreased to EUR 939000 in JanuaryMarch 2009,negative
According to Finnish petrol station chain St1 s managing director Kim Wiio  the company was forced to make purchases with rising prices in the first half of 2008  and now consumer prices are going down almost daily due to competition,negative
UPM stock fell 3 percent to EURO 1249  1724 in early afternoon trading in Helsinki,negative
Net sales dropped by 6  yearonyear to EUR 119 million,negative
However  the orders received during the period under review fell by 17  quarteronquarter from the EUR 213 million recorded in the second quarter of 2010,negative
Operating loss of the Pulp  Paper Machinery unit was over EUR 3mn in September 2007  August 2008  compared to a profit of EUR 37 mn a year earlier,negative
In the Baltic countries  sales fell by 402   and in Russia  by 232  in terms of euros  and by 107  in terms of local currency,negative
Raute reported a loss per share of EUR0 86 for the first half of 2009  against EPS of EUR0 74 in the corresponding period of 2008,negative
Operating profit fell to EUR 151 mn from EUR 246 mn in 2006,negative
Finnish Bank of ï½land reports operating profit of EUR 22 mn in the first quarter of 2010  down from EUR 63 mn in the corresponding period in 2009,negative
In sales volume  CocaCola s market share has decreased by 22  to 242,negative
Finnish waste management and cleaning group Lassila  Tikanoja Oyj  LT  net profit went down to 322 mln euro   477 mln  for 2007 from 353 mln euro   523 mln  for 2006,negative
Return on investment ROI was 41  compared to 438  in the first half of 2008,negative
Cramo slipped to a pretax loss of EUR 67 million from a pretax profit of EUR 589 million,negative
Comparable operating profit decreased to EUR 138 mn from EUR 171 mn in the corresponding period in 2005,negative
Finnish shipping company Finnlines  of the Grimaldi Group  reports its net sales decreased to EUR 2418 mn in JanuaryJune 2009 from EUR 3840 mn in the corresponding period in 2008,negative
Earnings per share  EPS  dropped to EUR 021 from EUR 031,negative
Net profit in the three months through March 31 fell to   x20ac  103 million  US 165 million  from   x20ac  131 million a year earlier  the Finnish company said,negative
11 August 2010  Finnish measuring equipment maker Vaisala Oyj HEL  VAIAS said today that its net loss widened to EUR4 8 m in the first half of 2010 from EUR2 3 m in the corresponding period a year earlier,negative
In the building and home improvement trade  sales decreased by 225  to EUR 2014 mn,negative
Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy,negative
Diluted earnings per share  EPS  declined to EUR 078 from EUR 176,negative
Reported operating margin was a negative 59,negative
Operating profit was EUR 16 mn in 2005 compared to EUR 59 mn in 2004,negative
The period s sales dropped to EUR30 6 m from EUR38 3 m  according to the interim report  released today,negative
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier,negative
ADP News   Jan 22  2009  Finnish mobile phones maker Nokia Oyj  OMX  NOK1V  said today its operating profit decreased to EUR 5 billion  USD 65 bn  for 2008 from EUR 8 billion for 2007,negative
A total of 165 mn passenger ship journeys took place in the northern Baltic Sea in 2007  slightly down from 165 mn in 2006,negative
The company said that sales in the three months to the end of March slid to EUR86 4 m US 1134 m from EUR91 2 m last year,negative
Pharmaceuticals group Orion Corp reported a fall in its thirdquarter earnings that were hit by larger expenditures on RD and marketing,negative
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as  cry babies,negative
The period s sales dropped to EUR 306 million from EUR 383 million  according to the interim report  released today,negative
Operating profit totalled EUR 122 mn  down from EUR 356 mn in the first quarter of 2008,negative
Operating profit fell to EUR 203 mn from EUR 742 mn in the second quarter of 2008,negative
The company slipped to an operating loss of EUR 26 million from a profit of EUR 13 million,negative
Dealers said the share was largely hit by investor disappointment about a refining margin of just 948 usd per barrel for the quarter and the performance of its shipping unit  which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates,negative
At this growth rate  paying off the national debt will be extremely painful,negative
Stora Enso Oyj said its secondquarter result would fall by half compared with the same period in 2007,negative
Finnish Kemira s net sales EUR decreased to EUR 12596 mn in JanuaryJune 2009 from EUR 14251 mn in JanuaryJune 2008,negative
Making matters more difficult  the company said it has been grappling with higher oil and gas prices  which have pushed up the cost of energy  raw materials and transportation,negative
Device volume in the area decreased by 21  to 27 mn units,negative
Last year  83 million passengers flew the airline  down 4 percent from 2007,negative
Earlier today  Geberit s Finnish rival Uponor OYJ cut its fullyear sales growth forecast to 6 pct from 10 pct  blaming tough conditions in Germany and the US  as well as currency factors,negative
ADPnews  Aug 3  2009  Finnish media group IlkkaYhtyma Oyj HEL  ILK2S said today its net profit fell 45  on the year to EUR 59 million USD 84 m in the first half of 2009,negative
At 1411 CET  ArcelorMittal had lost 726  to EUR 1738 on Euronext Paris  coming at the lead of the bluechip fallers,negative
External net sales from the printing business fell by 437   partly due to the termination of the printing contract between IlkkaYhtyma s printing house Iprint Oy and sector player HSS Media AB in December 2009 and the fall in printing prices,negative
Sampo Bank s market share of lending was 136   down from 144  in the first quarter of 2008,negative
Therefore  the company s 2005 result will remain weaker than that of 2004,negative
In the Baltic countries  sales fell by 426,negative
Operating loss amounted to EUR 07 mn compared to a profit of EUR 08 mn in the second quarter of 2005,negative
HELSINKI Thomson Financial  Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in AprilJune profits  which overshadowed the large number of new orders received during the three months,negative
Cardona slowed her vehicle  turned around and returned to the intersection  where she called 911,neutral
Market data and analytics are derived from primary and secondary research,neutral
Exel is headquartered in Mantyharju in Finland,neutral
Tampere Science Parks is a Finnish company that owns  leases and builds office properties and it specialises in facilities for technologyoriented businesses,neutral
The Oxyview Pulse Oximeter is a common device to check patient bloodoxygen saturation level and pulse rate,neutral
Componenta has production lines for similarsized products at Karkkila in Finland  at Weert in the Netherlands and at Orhangazi in Turkey  and these had a combined output of approximately 100000 tonnes and net sales of EUR 135 million in 2007,neutral
Le Lay succeeds Walter Gnter and will be based in Finland,neutral
The total scope of the project is about 38000 square metres and it is valued at a total of around EUR75m,neutral
The offer price is  35 million  including cash of  10 million as net debt assumption of FACE  and  20 million worth of Cencorp shares to be issued to Savcor,neutral
The acquisition is expected to take place by the end of August 2007,neutral
After the sale  Savcor Group Ltd will comprise Savcor ART  a corporate function and an investment in Cencorp Corporation,neutral
An  of the invention  released by the Patent Office  said   A noncoherent search matrix is formed of said correlation function matrix,neutral
Jensen  Njastein and Mike Critch  the head of Dovre North America business unit  will report to Toivola,neutral
As such  the space has blond wood floors  unlike the rest of the store  and a notably Scandinavian vibe,neutral
The capital structure of Solidium may be complemented by other financial instruments in the future,neutral
The company s plant in Russia will continue to make tyres for its near markets  while the plant in Nokia in Finland will manufacture tyres for other markets,neutral
Subscribers of China Unicom  the nation s second largest mobile phone operator after China Mobile  are expected to release pictures  videos and blog on the Internet via mobile phones as of March 2008,neutral
The inaugural speech will be given by Hannu Kyrolainen  Finland s Ambassador to the Czech Republic,neutral
ALEXANDRIA  Va  March 15  Jaakko Vilo of Turku  Finland  has developed a panel press,neutral
Finnish food industry company Lï½nnen Tehtaat is planning changes to its fish product business,neutral
Cargotec s business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR,neutral
Residents access to the block is planned to be from Aleksandri Street,neutral
Stichting Pensioenfonds ABP  4 118 122 shares representing 519  of the share capital and voting rights,neutral
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards,neutral
Changes to the asbuilt models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process,neutral
Customers include hotels and restaurants as well as wholesalers and some retailers,neutral
In Finland  the five largest brands control 90  of the beer market,neutral
Motorola Inc of the United States came second with shipments of 2174 million units for a 213 percent market share  followed by South Korea s Samsung Electronics Co with shipments of 1180 million units for an 116 percent share,neutral
The donations are granted to Aalto University and the universities of Helsinki  Tampere  Turku  Eastern Finland  Jyvï½skylï½  Oulu and Vaasa  and to polytechnics to be announced later,neutral
MetsaBotnia will finance the payment of dividends  the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations  and shares in Pohjolan Voima  and by utilising its existing financing facilities,neutral
The closing of the transaction is scheduled to take place on January 10  2008,neutral
The company said that the results of the third quarter do not include nonrecurring items,neutral
Of the company s net sales  38  was acquired in Finland  21  in other European countries  40  in Asia  and 1  in the US,neutral
A maximum of 666104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan,neutral
The expansion is to be finalized in the autumn of 2009,neutral
Viking will pay EUR 130 million for the new ship  which will be completed in January 2008,neutral
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits TMLsfor their ore grades,neutral
Koff s market share of the volume of the market was 234   Karhu s 214,neutral
The transaction is planned to be financed with a EUR40m marketbased loan granted by Standard Chartered Bank Hong Kong,neutral
The value of the order is EUR 4mn,neutral
The beers differ slightly from mainstream beers,neutral
The size of a cider bottle will remain unchanged,neutral
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary,neutral
Its customers include local companies Slo Oy  Kiilto Oy  Toptronics Oy  Normark Suomi Oy  Pellonpaja Oy and Mansner Oy,neutral
The buildings  with about 40 condominiums each  will be built in 4 or 5 stages,neutral
An EU law on the issue may be introduced around 2010,neutral
